DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/03/2018,10:20,,,,,,CROSS BRONX EXPWY SERVICE ROAD  ,ROSEDALE AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3876989,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,10:21,MANHATTAN,10172,,,,EAST 47 STREET                  ,PARK AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3874585,TAXI,VN,,,
04/03/2018,12:48,,,40.69874,-73.926315,"(40.69874, -73.926315)",CENTRAL AVENUE                  ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3874469,SPORT UTILITY / STATION WAGON,,,,
04/03/2018,0:00,MANHATTAN,10018,40.75649,-73.997765,"(40.75649, -73.997765)",WEST 37 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3875635,VN,,,,
04/03/2018,0:00,MANHATTAN,10027,40.81458,-73.94795,"(40.81458, -73.94795)",8 AVENUE                        ,WEST 132 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3874492,TAXI,PASSENGER VEHICLE,,,
04/03/2018,0:00,STATEN ISLAND,10312,40.56404,-74.18728,"(40.56404, -74.18728)",ILYSSA WAY                      ,ARTHUR KILL ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3875216,PASSENGER VEHICLE,,,,
04/03/2018,0:00,,,40.562866,-74.1871,"(40.562866, -74.1871)",FEATHERBED LANE                 ,MACOMBS ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3875387,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,0:00,,,,,,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA,,0,0,0,0,0,0,0,0,Following Too Closely,Passing or Lane Usage Improper,,,,3874140,PICK-UP TRUCK,PASSENGER VEHICLE,,,
04/03/2018,0:00,,,40.626335,-74.174965,"(40.626335, -74.174965)",,,2501      FOREST AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3874863,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,0:04,QUEENS,11370,40.76635,-73.88756,"(40.76635, -73.88756)",82 STREET                       ,23 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874308,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
